Size,Standard,Hybrid_5,Hybrid_10,Hybrid_15,Hybrid_20,Hybrid_30,Hybrid_50
500,78,30,21,18,16,14,13
600,92,36,26,24,21,18,18
700,106,47,37,28,26,24,21
800,140,64,42,32,29,26,25
900,163,70,49,37,34,31,29
1000,157,71,51,46,41,37,34
1100,174,78,59,57,48,48,40
1200,204,85,63,61,50,48,45
1300,210,94,73,77,63,57,52
1400,221,106,88,70,68,58,54
1500,236,122,94,80,80,66,60
1600,270,136,100,79,77,66,67
1700,332,139,105,84,83,71,71
1800,329,148,113,91,91,94,78
1900,309,151,113,94,90,80,78
2000,318,150,137,117,95,97,87
2100,385,167,123,118,97,96,90
2200,357,167,131,128,104,103,92
2300,374,168,130,131,115,111,101
2400,395,173,135,135,113,117,106
2500,453,173,172,144,130,124,113
2600,445,182,150,143,146,141,124
2700,456,206,195,165,199,137,138
2800,492,236,321,174,162,149,125
2900,508,277,209,193,158,137,131
3000,502,260,204,162,162,139,138
3100,497,272,217,174,176,148,142
3200,520,281,211,171,177,150,150
3300,542,290,239,188,189,156,157
3400,566,340,227,187,188,159,159
3500,575,298,236,190,193,165,162
3600,588,293,236,196,191,171,169
3700,611,304,243,219,199,177,177
3800,664,336,286,204,214,185,181
3900,645,326,249,216,204,194,180
4000,662,327,268,262,213,236,191
4100,744,341,273,270,260,215,197
4200,689,351,268,275,224,234,198
4300,722,339,268,274,225,231,206
4400,779,345,272,274,233,235,209
4500,763,376,310,280,233,232,219
4600,785,348,286,294,238,249,224
4700,823,405,287,312,260,271,234
4800,827,392,295,294,266,250,228
4900,825,378,302,298,337,261,237
5000,841,382,303,312,267,276,239
5100,898,385,308,354,303,261,242
5200,867,412,345,316,286,267,266
5300,904,453,356,318,324,276,256
5400,995,469,378,324,321,277,272
5500,935,460,388,347,341,288,268
5600,1016,503,405,435,373,291,269
5700,1144,619,538,343,424,325,275
5800,1095,524,494,395,354,328,353
5900,1259,590,564,391,354,308,326
6000,1091,594,466,361,391,329,298
6100,1115,572,435,406,364,311,296
6200,1124,635,503,368,400,507,315
6300,1128,587,478,374,372,324,329
6400,1106,628,469,379,395,355,316
6500,1159,623,503,388,389,349,332
6600,1129,592,472,430,401,339,362
6700,1206,625,499,412,411,340,389
6800,1144,652,502,420,400,345,345
6900,1262,648,499,430,442,377,358
7000,1218,636,485,414,415,362,364
7100,1195,650,512,447,457,371,405
7200,1237,621,506,429,426,363,380
7300,1275,631,528,431,429,385,385
7400,1355,675,509,422,444,416,384
7500,1301,664,509,443,427,379,400
7600,1301,703,533,442,448,386,385
7700,1343,696,539,453,441,402,401
7800,1329,674,558,473,477,470,398
7900,1343,669,557,489,461,446,401
8000,1350,697,559,531,452,495,442
8100,1377,702,617,585,458,530,415
8200,1413,708,587,545,461,478,419
8300,1409,690,597,619,477,531,428
8400,1406,710,569,559,475,472,425
8500,1437,748,595,579,481,488,432
8600,1468,740,610,578,507,485,463
8700,1493,755,574,634,516,520,495
8800,1486,720,582,613,514,516,477
8900,1745,747,723,602,540,658,499
9000,1811,880,609,608,577,551,1072
9100,2077,3940,774,634,632,528,722
9200,2079,776,740,705,527,555,586
9300,1951,785,679,748,546,528,568
9400,1726,890,1009,661,569,542,495
9500,1614,779,652,629,534,534,494
9600,1652,759,616,627,631,790,489
9700,1652,801,668,630,544,561,502
9800,1674,777,656,666,562,547,503
9900,1712,892,662,643,575,550,509
10000,1693,790,670,669,557,555,529
