Size,Standard,Hybrid_5,Hybrid_10,Hybrid_15,Hybrid_20,Hybrid_30,Hybrid_50
500,60,21,14,13,11,11,13
600,74,23,16,16,14,14,17
700,85,30,22,16,16,14,21
800,99,38,24,17,17,17,26
900,112,39,25,19,19,21,21
1000,125,42,27,25,21,21,24
1100,136,44,31,31,26,25,31
1200,147,45,32,32,27,28,35
1300,162,52,38,36,34,33,40
1400,175,64,48,35,34,32,44
1500,185,73,49,37,36,35,49
1600,304,118,66,49,47,41,70
1700,213,82,54,40,40,42,54
1800,265,80,53,41,41,49,52
1900,233,84,55,42,42,47,47
2000,249,85,57,52,43,44,50
2100,255,99,58,62,44,44,55
2200,271,85,58,58,47,47,58
2300,287,90,62,61,50,51,63
2400,298,90,65,63,52,52,66
2500,311,92,65,71,65,67,70
2600,321,115,93,75,74,56,94
2700,363,113,106,81,75,75,130
2800,378,127,99,70,69,62,86
2900,368,135,114,73,79,80,96
3000,371,147,98,72,72,69,98
3100,377,166,116,77,82,88,104
3200,415,160,103,74,74,74,110
3300,414,161,103,77,77,79,79
3400,437,166,106,81,81,83,83
3500,436,169,110,81,81,86,85
3600,455,181,110,116,87,94,87
3700,462,175,115,89,85,92,93
3800,486,174,112,86,87,97,97
3900,538,169,112,94,89,95,101
4000,490,167,112,103,88,90,119
4100,540,176,152,130,94,95,107
4200,560,172,116,116,98,110,114
4300,538,202,144,143,117,99,116
4400,548,180,124,166,110,99,126
4500,607,178,122,122,101,100,130
4600,584,182,124,126,105,103,128
4700,608,203,151,140,106,106,133
4800,594,188,164,150,156,135,156
4900,626,215,157,143,112,114,143
5000,659,248,143,131,112,112,146
5100,788,208,155,155,136,119,164
5200,650,200,147,133,148,120,159
5300,659,269,231,162,160,145,177
5400,687,223,166,158,143,126,170
5500,785,244,183,145,142,138,189
5600,784,252,189,141,169,278,221
5700,957,296,200,147,147,137,288
5800,761,292,300,206,179,136,188
5900,784,290,219,240,154,141,197
6000,770,335,205,148,147,142,199
6100,904,355,230,218,182,144,209
6200,841,315,206,154,155,151,286
6300,780,338,250,159,160,158,220
6400,829,325,207,154,154,174,240
6500,801,456,240,163,164,159,197
6600,815,327,263,221,199,202,165
6700,835,336,217,163,163,167,166
6800,855,329,229,226,199,186,185
6900,875,334,220,225,196,234,203
7000,934,330,220,192,170,178,176
7100,944,397,251,200,176,188,181
7200,943,379,244,176,176,191,183
7300,941,368,242,178,177,195,217
7400,977,337,225,179,211,242,220
7500,1001,392,267,216,215,221,221
7600,983,343,232,180,200,199,236
7700,1018,384,268,196,189,206,253
7800,1109,347,299,198,187,194,206
7900,995,361,232,206,234,188,210
8000,1056,366,275,259,247,216,237
8100,1090,348,238,231,223,221,219
8200,1018,345,235,235,191,240,274
8300,1122,361,238,253,197,224,227
8400,1063,352,241,240,200,196,228
8500,1074,354,242,248,202,199,237
8600,1096,359,290,246,200,199,238
8700,1137,374,248,248,214,211,245
8800,1231,582,271,293,251,208,364
8900,1266,548,300,293,269,227,258
9000,2367,931,360,404,278,352,265
9100,1332,416,522,318,231,222,276
9200,1371,368,299,476,229,273,272
9300,1400,400,506,782,5377,231,350
9400,1199,430,269,284,225,221,276
9500,1231,376,272,267,225,225,277
9600,1261,402,349,276,359,272,302
9700,1215,375,262,262,241,232,343
9800,1244,458,267,266,229,230,296
9900,1241,380,268,284,237,337,305
10000,1338,378,269,268,249,230,307
