Size,StandardQuickSort,HybridQuickSort
500,17,11
1500,50,30
2500,83,47
3500,115,67
4500,148,81
5500,181,100
6500,218,120
7500,250,-1
8500,281,151
9500,344,-1
10500,354,190
11500,433,207
12500,423,-1
13500,507,334
14500,490,284
15500,519,-1
16500,567,298
17500,591,-1
18500,616,338
19500,659,352
20500,702,364
21500,747,-1
22500,756,-1
23500,801,426
24500,825,434
25500,872,-1
26500,895,-1
27500,990,-1
28500,990,-1
29500,1054,-1
30500,1114,551
31500,1097,585
32500,1215,-1
33500,1161,640
34500,1165,-1
35500,1215,663
36500,1230,-1
37500,1287,-1
38500,1378,683
39500,1353,-1
40500,1385,-1
41500,1391,-1
42500,1449,758
43500,1512,-1
44500,1515,-1
45500,1580,815
46500,1572,-1
47500,1612,839
48500,1624,858
49500,1702,-1
50500,1784,904
51500,1731,-1
52500,1750,-1
53500,1801,-1
54500,1836,-1
55500,1860,-1
56500,1916,-1
57500,2035,-1
58500,1996,-1
59500,2029,-1
60500,2041,-1
61500,2030,-1
62500,2087,-1
63500,2229,1123
64500,2145,-1
65500,2243,-1
66500,2264,-1
67500,2299,1190
68500,2387,-1
69500,2304,-1
70500,2378,1215
71500,2433,-1
72500,2528,-1
73500,2453,-1
74500,2520,1266
75500,2557,-1
76500,2548,-1
77500,2568,-1
78500,2620,-1
79500,2672,-1
80500,2695,-1
81500,2703,-1
82500,2743,-1
83500,2864,-1
84500,3009,-1
85500,2981,-1
86500,2902,-1
87500,3107,-1
88500,3014,-1
89500,3082,-1
90500,3063,-1
91500,3282,-1
92500,3129,-1
93500,3213,-1
94500,3207,-1
95500,3221,-1
96500,3235,-1
97500,3274,-1
98500,3354,1708
99500,3362,1695
