Size,StandardQuickSort,HybridQuickSort
500,20,19
1500,69,-1
2500,120,90
3500,175,131
4500,228,177
5500,286,-1
6500,338,269
7500,395,-1
8500,458,359
9500,529,-1
10500,575,-1
11500,626,-1
12500,687,553
13500,736,619
14500,819,-1
15500,868,-1
16500,926,-1
17500,979,795
18500,1032,-1
19500,1126,-1
20500,1155,975
21500,1206,-1
22500,1260,-1
23500,1324,1076
24500,1468,-1
25500,1457,-1
26500,1575,1252
27500,1663,-1
28500,1705,-1
29500,1684,-1
30500,1761,1444
31500,1883,-1
32500,1844,-1
33500,1910,-1
34500,1965,1618
35500,2034,-1
36500,2061,1708
37500,2166,1759
38500,2224,1810
39500,2233,-1
40500,2315,-1
41500,2371,-1
42500,2544,-1
43500,2479,-1
44500,2570,-1
45500,2644,-1
46500,2664,-1
47500,2710,-1
48500,2770,-1
49500,2857,2329
50500,2920,-1
51500,2990,-1
52500,3075,-1
53500,3073,-1
54500,3173,-1
55500,3232,-1
56500,3278,-1
57500,3353,-1
58500,3387,-1
59500,3459,-1
60500,3560,-1
61500,3594,-1
62500,3620,-1
63500,3693,-1
64500,3808,-1
65500,3986,-1
66500,3968,-1
67500,4155,-1
68500,3995,-1
69500,4365,-1
70500,4124,-1
71500,4239,-1
72500,4301,-1
73500,4415,-1
74500,4521,-1
75500,4484,-1
76500,4559,-1
77500,4578,-1
78500,4709,-1
79500,4688,-1
80500,4759,-1
81500,4873,-1
82500,5016,-1
83500,4988,-1
84500,5044,-1
85500,5215,-1
86500,5309,-1
87500,5470,-1
88500,5551,-1
89500,5438,-1
90500,5577,-1
91500,5642,-1
92500,5635,-1
93500,5820,-1
94500,5704,-1
95500,5808,4582
96500,5855,-1
97500,5915,-1
98500,5936,-1
99500,6051,-1
