Size,StandardQuickSort,HybridQuickSort
500,14,7
1500,45,23
2500,77,40
3500,110,56
4500,139,75
5500,173,95
6500,243,110
7500,245,-1
8500,272,-1
9500,314,166
10500,348,194
11500,374,209
12500,416,-1
13500,446,238
14500,485,-1
15500,511,297
16500,593,-1
17500,591,-1
18500,656,-1
19500,661,-1
20500,686,-1
21500,731,-1
22500,751,408
23500,788,-1
24500,833,-1
25500,858,-1
26500,932,-1
27500,1010,-1
28500,955,-1
29500,996,-1
30500,1041,589
31500,1061,-1
32500,1107,-1
33500,1150,-1
34500,1192,653
35500,1241,699
36500,1274,-1
37500,1286,-1
38500,1334,-1
39500,1361,-1
40500,1399,-1
41500,1426,776
42500,1526,-1
43500,1498,-1
44500,1554,-1
45500,1585,-1
46500,1617,890
47500,1679,925
48500,1672,-1
49500,1684,-1
50500,1890,-1
51500,1824,-1
52500,1841,-1
53500,1893,-1
54500,1927,1012
55500,1931,-1
56500,1956,-1
57500,2093,-1
58500,2048,1138
59500,2092,-1
60500,2105,1217
61500,2181,-1
62500,2208,-1
63500,2384,-1
64500,2219,-1
65500,2331,-1
66500,2448,1346
67500,2436,-1
68500,2412,1365
69500,2481,-1
70500,2546,-1
71500,2555,-1
72500,2590,-1
73500,2625,1495
74500,2718,1517
75500,2690,-1
76500,2670,-1
77500,2734,-1
78500,2937,-1
79500,2815,-1
80500,2885,-1
81500,2876,-1
82500,2990,-1
83500,2952,-1
84500,2994,-1
85500,3240,-1
86500,3090,-1
87500,3222,-1
88500,3108,-1
89500,3225,-1
90500,3248,-1
91500,3322,-1
92500,3420,-1
93500,3375,-1
94500,3385,-1
95500,3392,1834
96500,3448,-1
97500,3468,-1
98500,3620,2045
99500,3778,-1
